"Series";"Time";"Value"
"COEC2MDFQueryProvider@1de64e25";"2019-12-06T10:05:00+05:30";21
"COEC2MDFQueryProvider@1de64e25";"2019-12-06T10:06:00+05:30";24
"COEC2MDFQueryProvider@1de64e25";"2019-12-06T10:07:00+05:30";22
"COEC2MDFQueryProvider@1de64e25";"2019-12-06T10:08:00+05:30";8
"COEC2MDFQueryProvider@1de64e25";"2019-12-06T10:10:00+05:30";21
"COEC2MDFQueryProvider@1de64e25";"2019-12-06T10:11:00+05:30";24
"COEC2MDFQueryProvider@1de64e25";"2019-12-06T10:12:00+05:30";25
"COEC2MDFQueryProvider@1de64e25";"2019-12-06T10:13:00+05:30";7
"COEC2MDFQueryProvider@1de64e25";"2019-12-06T10:15:00+05:30";22
"COEC2MDFQueryProvider@1de64e25";"2019-12-06T10:16:00+05:30";22
"COEC2MDFQueryProvider@1de64e25";"2019-12-06T10:17:00+05:30";24
"COEC2MDFQueryProvider@1de64e25";"2019-12-06T10:18:00+05:30";7
"COEC2MDFQueryProvider@1de64e25";"2019-12-06T10:20:00+05:30";21
"COEC2MDFQueryProvider@1de64e25";"2019-12-06T10:21:00+05:30";23
"COEC2MDFQueryProvider@1de64e25";"2019-12-06T10:22:00+05:30";24
"COEC2MDFQueryProvider@1de64e25";"2019-12-06T10:23:00+05:30";7
"COEC2MDFQueryProvider@200b9b85";"2019-12-06T09:35:00+05:30";1
"COEC2MDFQueryProvider@200b9b85";"2019-12-06T09:36:00+05:30";23
"COEC2MDFQueryProvider@200b9b85";"2019-12-06T09:37:00+05:30";23
"COEC2MDFQueryProvider@200b9b85";"2019-12-06T09:38:00+05:30";10
"COEC2MDFQueryProvider@200b9b85";"2019-12-06T09:44:00+05:30";2
"COEC2MDFQueryProvider@200b9b85";"2019-12-06T09:50:00+05:30";17
"COEC2MDFQueryProvider@200b9b85";"2019-12-06T09:51:00+05:30";22
"COEC2MDFQueryProvider@200b9b85";"2019-12-06T09:52:00+05:30";23
"COEC2MDFQueryProvider@200b9b85";"2019-12-06T09:53:00+05:30";13
"COEC2MDFQueryProvider@200b9b85";"2019-12-06T09:55:00+05:30";21
"COEC2MDFQueryProvider@200b9b85";"2019-12-06T09:56:00+05:30";22
"COEC2MDFQueryProvider@200b9b85";"2019-12-06T09:57:00+05:30";23
"COEC2MDFQueryProvider@200b9b85";"2019-12-06T09:58:00+05:30";9
"COEC2MDFQueryProvider@200b9b85";"2019-12-06T10:20:00+05:30";2
"COEC2MDFQueryProvider@3e193449";"2019-12-06T09:48:00+05:30";2
"COEC2MDFQueryProvider@3e193449";"2019-12-06T09:52:00+05:30";2
"COEC2MDFQueryProvider@4e6ba53d";"2019-12-06T10:16:00+05:30";2
"COEC2MDFQueryProvider@60a3d76a";"2019-12-06T09:40:00+05:30";20
"COEC2MDFQueryProvider@60a3d76a";"2019-12-06T09:41:00+05:30";22
"COEC2MDFQueryProvider@60a3d76a";"2019-12-06T09:42:00+05:30";23
"COEC2MDFQueryProvider@60a3d76a";"2019-12-06T09:43:00+05:30";10
"COEC2MDFQueryProvider@60a3d76a";"2019-12-06T09:45:00+05:30";20
"COEC2MDFQueryProvider@60a3d76a";"2019-12-06T09:46:00+05:30";23
"COEC2MDFQueryProvider@60a3d76a";"2019-12-06T09:47:00+05:30";23
"COEC2MDFQueryProvider@60a3d76a";"2019-12-06T09:48:00+05:30";9
"COEC2MDFQueryProvider@60a3d76a";"2019-12-06T10:25:00+05:30";21
"COEC2MDFQueryProvider@60a3d76a";"2019-12-06T10:26:00+05:30";23
"COEC2MDFQueryProvider@60a3d76a";"2019-12-06T10:27:00+05:30";23
"COEC2MDFQueryProvider@60a3d76a";"2019-12-06T10:28:00+05:30";8
"COEC2MDFQueryProvider@70e1e155";"2019-12-06T09:36:00+05:30";2
"COEC2MDFQueryProvider@70e1e155";"2019-12-06T10:08:00+05:30";2
"COEC2MDFQueryProvider@729bd4a5";"2019-12-06T10:00:00+05:30";2
"COEC2MDFQueryProvider@750b50bd";"2019-12-06T10:01:00+05:30";2
"COEC2MDFQueryProvider@88a63c4";"2019-12-06T10:28:00+05:30";2
"COEC2MDFQueryProvider@c5ff3a8";"2019-12-06T09:40:00+05:30";4
"COEC2MDFQueryProvider@c5ff3a8";"2019-12-06T09:45:00+05:30";4
"COEC2MDFQueryProvider@c5ff3a8";"2019-12-06T09:50:00+05:30";4
"COEC2MDFQueryProvider@c5ff3a8";"2019-12-06T09:55:00+05:30";4
"COEC2MDFQueryProvider@c5ff3a8";"2019-12-06T10:00:00+05:30";4
"COEC2MDFQueryProvider@c5ff3a8";"2019-12-06T10:05:00+05:30";4
"COEC2MDFQueryProvider@c5ff3a8";"2019-12-06T10:10:00+05:30";4
"COEC2MDFQueryProvider@c5ff3a8";"2019-12-06T10:15:00+05:30";4
"COEC2MDFQueryProvider@c5ff3a8";"2019-12-06T10:20:00+05:30";4
"COEC2MDFQueryProvider@c5ff3a8";"2019-12-06T10:25:00+05:30";4
"COEC2MDFQueryProvider@c701e41";"2019-12-06T10:24:00+05:30";2
"COEMEventEditHandler";"2019-12-06T09:40:00+05:30";2
"COEMEventEditHandler";"2019-12-06T09:45:00+05:30";2
"COEMEventEditHandler";"2019-12-06T09:46:00+05:30";1
"COEMEventEditHandler";"2019-12-06T09:49:00+05:30";3
"COEMEventEditHandler";"2019-12-06T09:50:00+05:30";2
"COEMEventEditHandler";"2019-12-06T09:51:00+05:30";3
"COEMEventEditHandler";"2019-12-06T09:55:00+05:30";2
"COEMEventEditHandler";"2019-12-06T09:57:00+05:30";3
"COEMEventEditHandler";"2019-12-06T10:00:00+05:30";2
"COEMEventEditHandler";"2019-12-06T10:02:00+05:30";1
"COEMEventEditHandler";"2019-12-06T10:05:00+05:30";2
"COEMEventEditHandler";"2019-12-06T10:10:00+05:30";2
"COEMEventEditHandler";"2019-12-06T10:15:00+05:30";3
"COEMEventEditHandler";"2019-12-06T10:17:00+05:30";1
"COEMEventEditHandler";"2019-12-06T10:20:00+05:30";2
"COEMEventEditHandler";"2019-12-06T10:25:00+05:30";2
"COEntityQueryProvider";"2019-12-06T09:57:00+05:30";1
"COEntityQueryProvider";"2019-12-06T10:22:00+05:30";1
"COEntityQueryProvider";"2019-12-06T10:28:00+05:30";1
"COFoundationObjQueryProvider@110e28b6";"2019-12-06T10:16:00+05:30";1
"COLongStringConverter";"2019-12-06T09:49:00+05:30";1
"COMDFEditHandler";"2019-12-06T10:05:00+05:30";575
"COPropertyHelper";"2019-12-06T09:43:00+05:30";1
